595,.644
605,.622
615,.638
625,.649
635,.652
645,.639
655,.646
665,.657
675,.652
685,.655
695,.664
705,.663
715,.663
725,.668
735,.676
745,.676
755,.686
765,.679
775,.678
785,.683
795,.694
805,.699
815,.710
825,.730
835,.763
845,.812
855,.907
865,1.044
875,1.336
885,1.881
895,2.169
905,2.075
915,1.598
925,1.211
935,.916
945,.746
955,.672
965,.627
975,.615
985,.607
995,.606
1005,.609
1015,.603
1025,.601
1035,.603
1045,.601
1055,.611
1065,.601
1075,.608
